Country Name,Country Code,Time,Time Code,GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS]
Turkiye,TUR,2000,YR2000,6.93323970455904,54.9153705812683,6.488,0.358009205092114,19.8811989046161
Turkiye,TUR,2001,YR2001,-5.75000655464257,54.4001887619076,8.373,1.66143648076133,27.1819418753369
Turkiye,TUR,2002,YR2002,6.44772204681594,44.9641209479849,10.345,0.450365943798731,25.1051190164424
Turkiye,TUR,2003,YR2003,5.76320606654714,21.6024384490573,10.546,0.541012064598093,23.0061778959535
Turkiye,TUR,2004,YR2004,9.79593638920282,8.59826168115273,10.831,0.68115320938217,23.6247532110161
Turkiye,TUR,2005,YR2005,8.99230493626517,8.17916036802001,10.634,1.98117883010132,21.8762675597935
Turkiye,TUR,2006,YR2006,6.94798808571993,9.59724212288433,10.233,3.62338249776751,22.3948339423242
Turkiye,TUR,2007,YR2007,5.04350793157104,8.75618090972639,10.281,3.23591904225539,21.8895256942149
Turkiye,TUR,2008,YR2008,0.815024573007705,10.4441283764885,10.97,2.57654907421017,23.5662909262571
Turkiye,TUR,2009,YR2009,-4.82315395301769,6.25097663090626,14.024,1.32221487006924,23.3701991459541
Turkiye,TUR,2010,YR2010,8.42710432276191,8.56644420552977,11.881,1.17109180715754,21.1941333155525
Turkiye,TUR,2011,YR2011,11.2001105833504,6.47187967115095,9.784,1.92921838268011,22.9937012536403
Turkiye,TUR,2012,YR2012,4.78849271108008,8.89156996512165,9.21,1.56083222274036,24.3608755208614
Turkiye,TUR,2013,YR2013,8.48581699653026,7.49309030547697,9.717,1.41605893309676,23.7930095050818
Turkiye,TUR,2014,YR2014,4.9397151613658,8.8545727136432,9.912,1.42043970559208,25.2055416974053
Turkiye,TUR,2015,YR2015,6.08448690443663,7.67085364845881,10.302,2.22870440882429,24.5312773389092
Turkiye,TUR,2016,YR2016,3.32308420845746,7.77513415328327,10.905,1.59080974143791,23.0835091311263
Turkiye,TUR,2017,YR2017,7.50199748917491,11.1443110840765,10.916,1.30269498288905,26.0394223439924
Turkiye,TUR,2018,YR2018,3.0131703931215,16.3324638988928,10.958,1.59826004955637,31.2326962348151
Turkiye,TUR,2019,YR2019,0.818514526726673,15.1768215720023,13.731,1.24926755538016,33.0742160572998
Turkiye,TUR,2020,YR2020,1.85987303976462,12.2789574462574,13.155,1.04423130250652,29.1207901808282
Turkiye,TUR,2021,YR2021,11.4393956926566,19.5964926913324,11.979,1.54586383583081,35.7436961064769
Turkiye,TUR,2022,YR2022,5.53342787492781,72.3088359891207,10.432,1.5195369726187,38.5842021809785
Turkiye,TUR,2023,YR2023,5.11116818488702,53.8594087593315,9.354,0.953004409142305,31.9158356904098
Turkiye,TUR,2024,YR2024,3.18402435479221,58.5064507300342,8.711,0.887433012030944,28.045069179622
